tqq,tss,nooverlap
t9136c4,t17732c5,37
t9136c4,t17740c0,58
t9136c4,t17740c4,24
t9136c4,t17741c11,74
t9136c4,t17761c5,37
t9136c4,t17765c3,47
t9136c4,t17775c5,57
t9136c4,t17807c5,37
t9136c4,t17839c3,78
t9136c4,t17846c3,41
t9136c4,t17857c5,29
t9136c4,t17871c5,55
t9136c4,t17871c6,60
t9136c4,t17921c2,51
t9136c4,t18068c5,63
t9136c4,t18092c5,50
t9136c4,t18092c6,75
t9136c4,t18017c4,46
t9136c4,t18018c1,22
t9136c4,t18018c2,60
t9136c4,t18034c5,33
t9136c4,t18045c5,37
t9136c4,t18053c5,33
t9136c4,t18136c4,73
t9136c4,t18160c1,65
t9136c4,t18162c3,75
t9136c4,t18314c1,3
t9136c4,t18323c7,32
t9136c4,t18327c6,66
t9136c4,t18190c0,29
t9136c4,t18191c2,55
t9136c4,t18191c5,74
t9136c4,t18191c6,39
t9136c4,t18194c5,33
t9136c4,t18287c0,1
t9136c4,t18212c7,63
t9136c4,t18212c8,80
t9136c4,t18245c1,68
t9136c4,t18254c5,33
t9136c4,t18261c4,73
t9136c4,t18414c3,28
t9136c4,t18417c0,41
t9136c4,t18427c5,50
t9136c4,t18427c6,75
t9136c4,t18454c8,66
t9136c4,t18454c10,67
t9136c4,t18454c19,59
t9136c4,t18334c3,62
t9136c4,t18370c1,41
t9136c4,t18372c4,49
t9136c4,t18374c1,62
t9136c4,t18526c0,40
t9136c4,t18540c3,37
t9136c4,t18554c3,33
t9136c4,t18561c3,65
t9136c4,t18562c1,75
t9136c4,t18676c0,57
t9136c4,t18678c1,38
t9136c4,t18692c2,56
t9136c4,t18617c0,1
t9136c4,t18625c5,56
t9136c4,t18649c5,60
t9136c4,t18779c5,76
t9136c4,t18779c6,54
t9136c4,t18799c2,35
t9136c4,t18809c3,62
t9136c4,t18821c3,65
t9136c4,t18827c3,53
t9136c4,t18830c6,68
t9136c4,t18835c2,43
t9136c4,t18839c4,60
t9136c4,t18867c5,37
t9136c4,t19067c3,64
t9136c4,t18998c7,72
t9136c4,t18998c10,65
t9136c4,t19006c3,50
t9136c4,t19010c20,55
t9136c4,t18933c5,33
t9136c4,t18946c5,33
t9136c4,t19217c4,60
t9136c4,t19222c5,33
t9136c4,t19243c7,32
t9136c4,t19306c0,64
t9136c4,t19320c3,62
t9136c4,t19343c3,62
t9136c4,t19511c3,78
t9136c4,t19527c4,66
t9136c4,t19527c21,60
t9136c4,t19481c4,63
t9136c4,t19381c2,55
t9136c4,t19420c3,70
t9136c4,t19556c5,32
