tqq,tss,nooverlap
t1793c0,t1774c0,99
t1793c0,t1776c0,99
t1793c0,t1776c1,99
t1793c0,t1777c0,96
t1793c0,t1782c3,97
t1793c0,t1782c4,97
t1793c0,t1783c2,91
t1793c0,t1784c0,98
t1793c0,t1784c1,89
t1793c0,t1786c1,99
t1793c0,t1786c3,97
t1793c0,t1789c2,82
t1793c0,t1790c3,97
t1793c0,t1790c4,97
t1793c0,t1791c5,98
t1793c0,t1793c0,0
t1793c0,t1795c1,85
t1793c0,t1797c1,93
t1793c0,t1800c0,98
t1793c0,t1800c1,88
t1793c0,t1802c6,94
t1793c0,t1805c0,96
t1793c0,t1805c2,97
t1793c0,t1808c3,97
t1793c0,t1808c4,97
t1793c0,t1810c0,96
t1793c0,t1810c2,93
t1793c0,t1811c0,94
t1793c0,t1811c2,98
t1793c0,t1812c1,88
t1793c0,t1814c0,98
t1793c0,t1814c1,86
t1793c0,t1820c0,99
t1793c0,t1820c1,99
t1793c0,t1825c2,99
t1793c0,t1828c1,99
t1793c0,t1829c0,97
t1793c0,t1833c2,91
t1793c0,t1833c3,96
t1793c0,t1835c0,92
t1793c0,t1836c1,90
t1793c0,t1837c0,98
t1793c0,t1837c1,83
t1793c0,t1839c0,99
t1793c0,t1840c0,99
t1793c0,t1842c2,99
t1793c0,t1843c4,99
t1793c0,t1845c0,90
t1793c0,t1846c0,98
t1793c0,t1847c0,95
t1793c0,t1851c0,87
t1793c0,t1851c2,88
t1793c0,t1852c2,98
t1793c0,t1853c0,98
t1793c0,t1853c1,86
t1793c0,t1854c2,99
t1793c0,t1855c0,98
t1793c0,t1855c1,88
t1793c0,t1858c0,99
t1793c0,t1858c3,93
t1793c0,t1859c1,99
t1793c0,t1859c6,78
t1793c0,t1861c1,85
t1793c0,t1861c2,74
t1793c0,t1862c0,94
t1793c0,t1862c1,99
t1793c0,t1864c1,99
t1793c0,t1866c2,92
t1793c0,t1866c3,98
